Details,Predict Type of finding,Type of finding
กอง Insulation ไม่มี Barricade และป้ายบ่งชี้สถานะ,Unsafe Condition,Unsafe Condition
กองนั่งร้านหลังจบงาน Shut down ไม่ได้นำออกจากพื้นที่,Unsafe Condition,Unsafe Condition
SE (งานหุ้ม Insulation) สวมใส่แว่นดำนั่งอยู่ด้านใต้อาคาร Hydrogen compressor ลักษณะคล้ายนั่งหลับ,Unsafe Action,Unsafe Action
SL (งานติดตั้งนั่งร้าน) ไม่เข้าใจรายละเอียดของงาน และอันตรายที่เกิดขึ้นขณะปฏิบัติงาน,Unsafe Action,Unsafe Action
"Clamp นั่งร้านตก ขณะที่ Audit (เนื่องจากไม่ได้สื่อสารกันระหว่างผู้ปฏิบัติงาน ทำให้มีการคลาย Clamp พร้อมกันทั้งสองฝั่งของ Pipe เมื่อขนย้ายทำให้ Clamp อีกฝั่งที่ต้องยึดกับ Pipe หล่นลงมา) 
",Unsafe Condition,Near Miss
"SL ตรวจสอบมาตรการใน JSA ไม่ตรงกับ Condition ที่หน้างาน
",Unsafe Action,Unsafe Action
"1.ไม่มี Copy Work ที่จุดปฏิบัติงาน (ทำงาน 3 จุด)
2.มี Work Cert. Checklist เพียงจุดเดียว ทำให้ไม่ได้ประเมินหน้างานจุดอื่นๆ ซึ่งมีสภาพหน้างานที่แตกต่างกัน
3.SL ตรวจสอบมาตรการใน JSA ไม่ตรงกับ Condition ที่หน้างาน",Unsafe Action,Unsafe Action
ปิดกั้นพื้นที่จุดจอดรถไม่ถูกต้อง ไม่ครอบคลุม,Unsafe Action,Unsafe Condition
ไม่มีการ JSA Talk ก่อนเริ่มงาน,Unsafe Action,Unsafe Action
จอดจักรยานกีดขวางพื้นที่ปฏิบัติงาน,Unsafe Action,Unsafe Action
ผูกธงขาวแดงกับเสาของอุปกรณ์ Plant ,Unsafe Action,Unsafe Condition
ไม่มีไม้หนุนล้อรถ Service อุปกรณ์ Load DMDS,Unsafe Condition,Unsafe Condition
ติด Sticker แสดงการตรวจสอบเครื่องมืออุปกรณ์ต่างๆ ที่กล่องใส่อุปกรณ์ ,Unsafe Action,Unsafe Action
งาน Change Gasket ไม่มีเชือกผูกมัดอุปกรณ์เครื่องมือที่นำขึ้นไปใช้งานบนที่สูง,Unsafe Action,Unsafe Action
"SL ไม่ได้ตรวจสอบมาตรการใน JSA และกรอกข้อมูลบริษัท, จำนวนผู้ปฏิบัติงานใน JSA",Unsafe Action,Unsafe Action
SL ไม่ได้ตรวจสอบมาตรการใน JSA ,Unsafe Action,Unsafe Action
ระบุพื้นที่ทำงานใน PTW ไม่เป็นไปตามจริง และระบุบริษัทคู่ธุรกิจมากกว่าที่ทำงานจริง (ทำงานยกขนย้ายอุปกรณ์นั่งร้านที่ TK-1430 แต่ใน PTW ระบุที่ Flare),Unsafe Action,Unsafe Action
ด้ามจับของอุปกรณ์รีดแผ่น Jacket insulation ชำรุด,Unsafe Condition,Unsafe Condition
สลิงผ้าใบที่ใช้รัดปูนที่ใช้ถ่วงน้ำหนัก A Frame ขาดชำรุด ,Unsafe Condition,Unsafe Condition
งานทาสี SL sign เอกสารไม่ครบ ,Unsafe Action,Unsafe Action
สวมใส่ PPE ไม่เหมาะสมกับงาน,Unsafe Action,Unsafe Action
ไม่ปิดล้อมพื้นที่ขณะปฏิบัติงาน (มีรถขับผ่านไปมา)และไม่มีถังดับเพลิง Stand by,Unsafe Condition,Unsafe Condition
ไม่มี Tag ระบุประเภท Insulation งาน Compound check valve line BFW,Unsafe Action,Unsafe Action
งาน Load Polymer กรวยที่นำมาใช้งานมีสภาพชำรุด,Unsafe Action,Unsafe Condition
งาน Load Polymer ไม่ได้ mark เส้นทางการเดินรถในพื้นที่กระบวนการผลิตใน plot plan,Unsafe Action,Unsafe Action
JSA มีขนาดตัวหนังสือเล็ก/ ไม่ชัดเจน,Unsafe Action,Unsafe Action
เอกสารมีการระบุใช้ Blower 12 นิ้ว แต่ไม่ได้มีการคำนวณในเอกสาร Ventilation,Unsafe Action,Unsafe Action
นั่งร้านที่ช่างสุทลให้ WTM ใช้อุปกรณ์ที่เหลือติดตั้ง ไม่มีผู้รับผิดชอบและไม่ได้ inspect,Unsafe Condition,Unsafe Condition
Rigger/ Hole watch เป็นคนเดียวกัน ซึ่ง Hole watch ไม่มี Sticker และ Cert. ยืนยันที่หน้างาน,Unsafe Action,Unsafe Action
"ประแจที่นำมาใช้งานไม่มีเชือกผูก, ไม่มีผ้าใบปูรอง หรือภาชนะใส่อุปกรณ์ ป้องกันการตกลงไป เนื่องจากพื้นที่เป็นตะแกรง",Unsafe Action,Unsafe Action
ใช้ Material (Clamp lock ladder) ไม่เหมาะสมกับลักษณะบันได,Unsafe Condition,Unsafe Condition
งาน Load Chemical เอกสารนำรถเข้า ไม่ได้ mark เส้นทางเดินรถ,Unsafe Action,Unsafe Action
ปิดล้อมพื้นที่ไม่มีป้ายชี้บ่งอันตราย,Unsafe Action,Unsafe Action
ปั่นจักรยานและลากรถเข็นไปพร้อมกัน,Unsafe Action,Unsafe Action
งานยก Motor ปิดล้อมพื้นที่ไม่ครอบคลุม,Unsafe Action,Unsafe Condition
นำน้ำมันสนมาเช็ดแผ่นอลูมิเนียม โดยไม่ได้ระบุใน JSA,Unsafe Action,Unsafe Action
สวมใส่ถุงมือไม่ตรงกับลักษณะงาน (ถุงมือผ้าธรรมดา) ในงานทาสีขัดสนิม,Unsafe Action,Unsafe Action
อุปกรณ์นั่งร้านไม่ได้จัดเก็บออกจากพื้นที่,Unsafe Action,Unsafe Condition
บันไดนั่งร้านกีดขวางทางเดินขึ้น-ลงที่ปฏิบัติงาน,Unsafe Condition,Unsafe Condition
อุปกรณ์นั่งร้านไม่ได้จัดเก็บออกจากพื้นที่,Unsafe Action,Unsafe Condition
อุปกรณ์นั่งร้านไม่ได้จัดเก็บออกจากพื้นที่,Unsafe Action,Unsafe Condition
