FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
339,PP3,-,-,Unsafe Condition,-,ผู้ขออนุญาต ไม่ได้เลือก Certificate WAH ที่หน้า work permit ซึ่งลักษณะงานที่ทำงาน บนงานบนที่สูง,ยกขนย้ายMelt,"Lift, transport, Melt",50,ผู้ขออนุญาต ไม่ได้เหลือ certificate wah ที่หน้า work permit ซึ่งลักษณะงานที่ทำการ บนงานบนที่สูง,"The applicant does not have a certificate wah left in front of the work permit, which the nature of work performed on work at height"
339,PP3,-,-,Unsafe Condition,-,ผู้ขออนุญาต ไม่ได้เลือก Certificate WAH ที่หน้า work permit ซึ่งลักษณะงานที่ทำงาน บนงานบนที่สูง,ยกขนย้ายPowder,"lifting, transporting, powder",50,ผู้ขออนุญาต ไม่ได้เหลือ certificate wah ที่หน้า work permit ซึ่งลักษณะงานที่ทำการ บนงานบนที่สูง,"The applicant does not have a certificate wah left in front of the work permit, which the nature of work performed on work at height"
339,PP3,-,-,Unsafe Condition,-,ผู้ขออนุญาต ไม่ได้เลือก Certificate WAH ที่หน้า work permit ซึ่งลักษณะงานที่ทำงาน บนงานบนที่สูง,water jet E-7703B,water jet E-7703B,50,ผู้ขออนุญาต ไม่ได้เหลือ certificate wah ที่หน้า work permit ซึ่งลักษณะงานที่ทำการ บนงานบนที่สูง,"The applicant does not have a certificate wah left in front of the work permit, which the nature of work performed on work at height"
340,PP3,-,-,Unsafe Condition,-," WAH Certificate ยังฟอร์มเก่าที่ยังไม่อัพเดท",ยกขนย้ายPowder,"lifting, transporting, powder",2,wah certificate ยังแอร์เก่าที่ยังไม่อัด,"wah certificate, still the old air conditioner that hasn't been compressed"
341,PP3,-,-,Unsafe Condition,-,"ไม่มี Barricade tag ",ยกขนย้ายPowder,"lifting, transporting, powder",17,ไม่มี barricade tag,no barricade tag
344,HDPE2,-,-,Unsafe Condition,Electrical & Grounding,พบ Safety lead ใช้สายคล้องคอห้อยบัตร ซึ่งไม่ถูกต้องตามข้อกำหนด,งานติดตั้ง Motor #3900,Installation of Motor #3900,1,พบ safety lead ใช้สายคล้องคอห้อยบัตร ซึ่งไม่ถูกต้องตาข้อกำหนด,"Found a safety lead, used a neck strap to hang the card. which is not in accordance with the requirements"
345,HDPE2,-,-,Unsafe Condition,Electrical & Grounding,พบมีการลงรายละเอียดข้อมูลไม่ครบ,งานติดตั้ง Motor #3900,Installation of Motor #3900,1,พบมีลงรายละเอียดข้อมูลไม่ครบ,Found that there is incomplete information.
349,Catalyst&Pilot plant,-,-,Unsafe Condition,Water jet,lifting plan form not up date and no plan calculation weight before working,"1.lifting plan form not update 2.ไม่มีการวางแผนการคำนวณน้ำหนักมาก่อน ",1.lifting plan form not update 2.no weight calculation plan before,1,"lifting plan form not up dataea , no plan calibrateinsulation height before workinject","lifting plan form not up dataea , no plan calibrateinsulation height before workinject"
350,Catalyst&Pilot plant,-,-,Unsafe Condition,Water jet,ทราบว่าต้องวางแผนการคำนวณน้ำหนักแต่ไม่ปฎิบัติ,"1.lifting plan form not update 2.ไม่มีการวางแผนการคำนวณน้ำหนักมาก่อน ",1.lifting plan form not update 2.no weight calculation plan before,1,ทราบว่าต้องวางแผนการคำนวณน้ำหนักแต่ไม่ปฏิบัติ,"Know that you need to plan the weight calculation, but do not practice."
351,Catalyst&Pilot plant,-,-,Unsafe Condition,Hot Work,มีการนำทินเนอร์ใส่ภาชนะที่เป้นขวดน้ำดื่มเข้ามาใช้งาน,ตัดเปลี่ยน Valve nitrogen,Replace Valve nitrogen,1,มีการนำทินเนอร์ใส่ภาชนะที่เส้นขวดน้ำดื่มเข้ามาใช้งาน,Thinner is brought into the container at the drinking water bottle line to use.
352,PP3,-,-,Unsafe Condition,-,ไม่ได้ระบุมาตรการความปลอดภัยในการทำงานข้อ 2.1,ยกย้ายเครื่องwater jet,Lift the water jet machine,1,ไม่ได้ระบุมาตรการความปลอดภัยในการทำงานข้อ 2.1,does not specify work safety measures clause 2.1
355,PP3,-,-,Unsafe Condition,-,ใน Job Safety Analysis (JSA) มีความครบถ้วนสมบูรณ์ มีการระบุถึงอันตรายของสารเคมี และวิธีการควบคุมความเป็นอันตรายนั้น รวมถึงผู้ที่มีส่วนเกี่ยวข้องกับงานลงชื่อรับทราบ  แต่ไม่ได้ลงเวลา,"ขนย้ายน้ำมัน  ",transport oil,2,"ใน mob safety analysis jsaมีความครบถ้วนสมบูรณ์มี ระบุอันตรายถึงสารเคมีของ , วิธีวมควบคุมความเป็นอันตรายนั้น สวมผู้ถึงที่มีส่วนเกี่ยวข้อง , งานลงชื่อรับทราบ แต่ไม่ได้ลงเวลา","In mob safety analysis jsa is exhaustive. Identify the chemical hazards of , how to control the hazards. Wear the person who is involved, sign the acknowledgment but not timed"
357,Ware house Site1,-,-,Unsafe Condition,Hot Work,"ตรวจสอบพบการใช้ Forklift ยกของใช้กำมะลอรัดสิ่งของ (ไม่ถูกต้อง) อุปกรณ์ยังไม่ได้ตรวจสอบและออกสติกเกอร์ ",รื้อแผ่นรูบเวอร์ ในอาคาร Forklift,Dismantling the ruber sheet in the Forklift building,1,"ตรวจสอบพบ ใช้ forklift ยกของใช้กำมะลอรัดส่งของ ไม่ถูกต้องอุปกรณ์ยังไม่ได้ตรวจสอบ , ออกสติ๊กเกอร์","Investigate, use a forklift to lift things, use spontaneously to deliver goods. Invalid, the device has not been checked, issued a sticker."
