FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Details,TranslateDetails
224,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบงานทาสีพบคู่ร่วมธุรกิจกำลังทาสีการ์ดเครื่องจักร M-301 พบไม่สวมใส่ Mask ที่ถูกต้องมีระบุใน JSA แต่ไม่ปฏิบัติตาม,Inspecting the paint job found a business partner was painting a machine guard. M-301 was not wearing the correct mask listed in the JSA but did not comply.
225,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,พบการปฏิบัติงานโดยใช้เครื่องตัดพื้นปูนพบไม่ล้อมพื้นที่ป้องกันและไม่สวมใส่อุปกรณ์ป้องกันการได้ยิน Ear Muff โดยมีระบุใน JSA แต่ไม่ปฏิบัติตาม,"Operations were performed using concrete floor cutters, not surrounded by protective areas and not wearing ear muff hearing protection, which was specified in the JSA but did not comply."
226,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ Grinder 7 นิ้ว พบสภาพอุปกรณ์ไม่พร้อมใช้งานโดยมีลวดเชื่อมมาขัดกับการ์ดเพื่อขัดให้แน่น อันตราย,"7"" Grinder inspected, device found unusable, with wires brushed against the card to tighten. Danger."
227,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ประเมิน JSA ไม่ครอบคลุม,The JSA assessment is not comprehensive.
228,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,"ประเมิน JSA ไม่ครอบคลุม
 ( เนื่่องจากมีการนำรถเข็นมาใช้งาน )","The JSA assessment is not comprehensive.
 (because the cart is used)"
229,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,รถเข็นที่นำมาใช้งานล้อยางสภาพไม่พร้อมใช้งาน,The cart used to use rubber wheels is not ready for use.
230,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,พบไม่การปิดกั้นและปิดล้อมพื้นที่ตามมาตรการ,No blocking and enclosing measures were found.
231,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ลงข้อมูลไม่ครบ (ไม่มีงานที่สูง ),incomplete data entry (no high jobs)
232,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,"ประเมิน JSA ไม่ครอบคลุม 
( ไม่มีประเมินเรื่องพืันที่ติดตั้งรถ )","The JSA assessment is not comprehensive.
(There is no assessment of the installation area of ​​the car)"
233,HDPE3,Unknown,Unknown,Unsafe Condition,Unknown,พบแผ่นรองขาช้างไม่ได้มาตรฐาน,Found a non-standard elephant leg pad.
234,HDPE3,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีแนบเอกสารงานที่สูง,No high work documents are attached.
235,HDPE2,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบเอกสารพบเอกสารใบเซอร์ของผู้ให้สัญญาณและผู้ผูกยึดหมดอายุ,"Check the documents, find the certificate of the signal provider and the binder have expired."
236,CPD Pipe Site3,Unknown,Unknown,Unsafe Action,Unknown,ไม่มีการปิดล้อมพื้นที่และป้ายชี้บ่ง,There are no enclosed areas and signposts.
237,GA Site3,Unknown,Unknown,Near Miss,Unknown,"ตรวจพบพื้นถนนบริเวณทางออกติดแนวรรั้วลานจอดรถ HD-2 ,3 สภาพชำรุด","Found the road surface at the exit near the parking lot fence line HD-2 ,3 damaged condition"
238,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบงานทาสีพบคู่ร่วมธุรกิจไม่สวมใส่ Mask R95 8247 ป้องกัน (ตามรูป),Investigate the painting work. The business partner is not wearing Mask R95 8247 protection (as in the picture).
239,Catalyst&Pilot plant,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบคู่ร่วมธุรกิจขึ้นทำงานบนที่สูงโดยออกจากนั่งร้านและทำงานบน Line Pipe อันตรายอาจจะพลาดตกจากที่สูง,Check to find business partners working at height by leaving scaffolding and working on Line Pipe. The danger of falling from height.
240,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,JSA ไม่ได้ประเมินความเสี่ยงเกี่ยวกับอุปกรณ์ที่นำมาทำงาน คือไม่ได้ประเมินเรื่องการใช้กรรไกร เสียม มีดดายหญ้า,"The JSA does not assess the risks associated with the equipment it operates. is not evaluating the use of scissors, pickaxes, weeding knives"
241,HDPE4,Unknown,Unknown,Unsafe Action,Unknown,พบป้ายขั้นตอนการใช้โฟมดับเพลิง ซีดจาง,Found a faded sign for the use of foam fire extinguishers.
242,PP2,Unknown,Unknown,Unsafe Condition,Unknown,ตรวจสอบพบ MASK ตัวที่เป็นหน้ากากหมดอายุการใช้งานสภาพและเดือนและปีหมดอายุ,"Check out the MASK, the mask is expired condition and expiration month and year."
243,PP1,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบพบการผูกมัดอุปกรณ์ Monorail มีน้ำหนักการมัดด้วย Sling มีการบิดตัว (ตามรูป) จุดบิดตัวจะเป็นจุดรับหนักมากอาจจะทำให้ Sling เสียหายและอาจจะทำให้ขาดได้,Check for binding of Monorail equipment. Weight is tied with sling. It is twisted (as shown in the picture). The twist point is very heavy. It may damage the sling and may cause it to break.
244,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ work permit ไม่มีการลงรายละเอียดการ Lock ระบบ LO/TO ซึ่งไม่สอดคล้องกับเอกสารเจ๊เอที่แนบมา,"Check the work permit. No details of locking the LO/TO system, which are not consistent with the attached JA documents."
245,Blownfilm,Unknown,Unknown,Unsafe Action,Unknown,ตรวจพบข้อ 2 งานถอดเปลี่ยนอุปกรณ์มาตรการความปลอดภัยไม่ชัดเจน,"Found item 2, the removal of equipment, the safety measures are not clear"
246,Store Site3,Unknown,Unknown,Unsafe Action,Unknown,ตรวจสอบ work permit พบว่ามีแต่ข้อมูลของงานแก้ไขหลังคาของคู่ธุรกิจเจ้นจันทร์ แต่ไม่มีรายละเอียดของคู่ธุรกิจบริษัทแม็กซิโม่ที่มารือนั่งร้าน,"Checking the work permit, found that there is only information about the roof repair work of Jan Chan business partners. But there is no details of Maximo's business partner who came to scaffolding."
247,Store Site3,Unknown,Unknown,Unsafe Action,Unknown,พบมีการทำงานรื้อนั่งร้านแต่ใน jsa ไม่มีการตรวจสอบมาตรการหน้างาน,"Found that there is work to dismantle scaffolding, but in jsa, there is no on-site inspection of measures."
248,Store Site7,Unknown,Unknown,Unsafe Action,Unknown,safety lead ไม่ตรวจสอบมาตรการหน้างาน ข้อที่ 6.1 ในลักษณะการทำงานบนที่สูง แต่งานได้ทำไปแล้ว,"safety lead does not check on-site measures, item 6.1, in the nature of working at heights But the work has already been done."
