No.,Details,Area,SubArea,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
246,พบบันไดนั่งร้านถูกนำมาพาดใช้งาน,Olefins2,Reactor,TNE,Unsafe Condition,Scaffolding,พบบันไดนั่งร้านถูกนำมาพาดใช้งาน,Found a scaffolding ladder being used across it.
247,พบท่อนั่งร้านขวางทางเดินเข้า-ออก,Olefins2,P-S226,TTCL,Unsafe Condition,Housekeeping,พบท่อนั่งร้านขวางทางเดินเข้า-ออก,Found a scaffold blocking the entrance and exit.
248,พบมีเศษวัสดุอุปกรณ์ขวางทางเข้า Eye washer,Olefins2,PR-13,TTCL,Unsafe Condition,Housekeeping,พบมีเศษวัสดุอุปกรณ์ขวางทางเข้า eye washer,A piece of equipment was found blocking the entrance to the eye washer.
249,พบสลิงผ้าใบที่นำมาใช้งานยก มีลักษณะขาดชำรุด,Olefins2,P-S420B,MOC (OPE),Unsafe Condition,Lifting,พบสลิงผ้าใบที่นำมาใช้งานยก มีลักษณะขาดชำรุด,Found a canvas sling that was used for lifting. have a broken appearance
250,ตรวจสอบงาน Chemical Loading (OPE&Nalco) การปิดกั้นพื้นที่ยังไม่เป็นมาตรฐาน มีแค่กรวยวางเป็นแนว,HOT,I2R,NALCO,Unsafe Condition,Chemical Work,"ตรวจสอบงาน chemical loading (ope, nalco) การปิดกั้นพื้นที่ยังไม่เป็นมาตรฐาน มีแค่กรวยวางเป็นแนว","Check the chemical loading (ope, nalco) work. The blocking of the area is not standardized. There are only cones lined up."
251,งานหุ้ม Insulation บนที่สูง ไม่มีการปิดกั้นพื้นที่ด้านล่าง,HOT,FAR1,TNE,Unsafe Condition,Insulation,งานหุ้ม insulation บนที่สูง ไม่มีการปิดกั้นพื้นที่ด้านล่าง,Insulation cladding work at height without blocking the area below.
252,ตรวจสอบงาน hot work class I ในงานทีอับอากาศ พบว่ามีแค่ช่างเชื่อม และ F/W,Interpipe,-,RNC,Unsafe Action,CSE,"ตรวจสอบงาน hot work class i ในงานทีอับอากาศ พบว่ามีแค่ช่างเชื่อม , f, w","Check hot work class i work in confined spaces It was found that only welders , f, w"
253,บันได ทีต้องเพิ่มในกรณีเกิดเคส Emergency ยังไม่มีการแก้ไข,Interpipe,-,ACE,Unsafe Condition,Others,บันได ทีต้องเพิ่มในกรณีเกิดเคส emergency ยังไม่มีการแก้ไข,The ladder that must be added in the event of an emergency has not been modified.
254,ทำงานบนหลังตู้คอนเทรนเนอร์ โดยใช้บันไดปีนขึ้น และไม่มีผู้จับบันได,Interpipe,-,ACE,Unsafe Action,Work at height,"ทำงานบนหลังตู้คอนเทรนเนอร์ โดยใช้บันไดปีนขึ้น , ไม่มีผู้จับบันได","Work on the back of the container Using ladders to climb up, no one to hold the stairs."
255,ใช้ลวดแทน safety sling,Olefins2,H-S120A,MOC (OPE),Unsafe Condition,Pressure test,ใช้ลวดแทน safety sling,Use a wire instead of a safety sling.
256,พบที่หน้างานมีถังน้ำมันทั้งเก่าและใหม่วางบริเวณข้าง pump lube oil,Olefins2,Compressor,MOC (OPE),Unsafe Condition,Chemical Work,"พบที่หน้างานมีถังน้ำมันทั้งเก่า, ใหม่วางบริเวณข้าง pump lube oil","Found at the front of the event, there are both old and new oil tanks placed next to the pump lube oil."
257,พบนั่งร้านแบบเคลื่อนที่ยังไม่ได้ Re-inspection จึงแขวน Tag แดงไว้ก่อน,Olefins2,-,TTCL,Unsafe Condition,Scaffolding,พบนั่งร้านแบบเคลื่อนที่ยังไม่ได้ re-inspection จึงแขวน tag แดงไว้ก่อน,"The mobile scaffolding has not yet been found. re-inspection, so hang the red tag first"
258,พบแผ่นนั่งร้านและท่อ กองวางอยู่บน Pipe rack,Olefins2,Sub Station,ATI-LT,Unsafe Condition,Housekeeping,"พบแผ่นนั่งร้าน, ท่อ กองวางอยู่บน pipe rack","Found scaffolding plates, pipe piles placed on pipe racks."
259,ตรวจสอบงานยกไม่การปิดล้อมพื้นที่,Olefins2,D-S505,TSK,Unsafe Condition,Lifting,ตรวจสอบงานยกไม่การปิดล้อมพื้นที่,Check the lifting work does not enclose the area.
260,สายไฟลากผ่านถนนมีการ protection ไม่คลอบคลุม,Olefins2,FAR,TTCL,Unsafe Condition,Electrical & Grounding,สายไฟลากผ่านถนนมีการ protection ไม่คลอบคลุม,Power cables running through the road are not covered by protection.
261,มีงานเชื่อม 2 จุด HOT BOX แต่ มี F/W 1 คน,Interpipe,-,RNC,Unsafe Action,Hot Work,"มีงานเชื่อม 2 จุด hot box แต่ มี f, w 1 คน","There are 2 hot box welding work, but there are f, w 1 person."
262,งานยกอุปกรณ์ด้วยเฮี๊ยบ การปิดกั้นพื้นที่ไม่ได้มาตรฐาน,UT,Cooling,KEC,Unsafe Condition,Lifting,งานยกอุปกรณ์ด้วยเฮี๊ยบ การปิดกั้นพื้นที่ไม่ได้มาตรฐาน,Lifting equipment with hips Blocking the area is not standardized.
263,ถังดับเพลิงที่ติดมากับรถดูดทรายชำรุด ซึ่งมีการนำถัง Spare มาใช้งานแทน แต่ไม่ได้จัดวางไว้ในพื้นที่ที่สังเกตเห็นได้,UT,PIT-2104,KEC,Unsafe Condition,Paint/ Coat/ Blast,"ถังดับเพลิงที่ติดมา, รถดูดทรายชำรุด ซึ่งมีการนำถัง spare มาใช้งานแทน แต่ไม่ได้จัดวางไว้ในพื้นที่ที่สังเกตเห็นได้","Attached fire extinguisher, damaged sand suction truck. A spare tank was used instead, but it was not placed in a noticeable area."
264,ผู้ปฏิบัติงานขึ้นที่สูง ปีนป่ายตาม pipe rack โดยสวม harness เพื่อนำชิ้นงานเป็นท่อ ลงมาจาก pipe rack ด้วยเชือกผูกลงมา,Olefins2,PR-24,TTCL,Unsafe Action,Work at height,"ผู้ปฏิบัติงานขึ้นที่สูง ปีนป่ายตาม pipe rack โดยสวม harness , นำชิ้นงานเป็นท่อ ลงมาจาก pipe rack ด้วยเชือกผูกลงมา","The worker climbs up the pipe rack by wearing a harness, bringing the workpiece in a pipe down from the pipe rack with a rope tied down."
