No.,Details,Area,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
1000,ถุงพลาสติกใส่ชุด Tyvek จัดเก็บไม่เป็นระเบียบ,HOT,RNC,Unsafe Condition,Housekeeping,ถุงพลาสติกใส่ชุด tyvek จัดเก็บไม่เป็นระเบียบ,Plastic bags for tyvek sets for organized storage.
1001,แบบคำนวณนั่งร้านไม่ตรงตามหน้างานจริง,Olefins2,TTCL,Unsafe Action,Scaffolding,แบบคำนวณนั่งร้านไม่ตรงตามหน้างานจริง,The scaffolding calculation form does not match the actual job site.
1002,คล้องเกี่ยว Safety Harness ต่ำกว่าระดับศีรษะ,Olefins2,LT,Unsafe Action,Work at height,คล้องเกี่ยว safety harness ต่ำกว่าระดับศีรษะ,Attach the safety harness below head level.
1003,"ไม่มีเชือกผูกค้อน, ประแจ",HOT,USA Service,Unsafe Condition,Work at height,"ไม่มีเชือกผูกค้อน , ประแจ","No rope to tie the hammer, wrench."
1004,ผู้ปฏิบัติงานด้านใน Fire Box ไม่สวมใส่ชุด Tyvek,HOT,RNC,Unsafe Action,CSE,ผู้ปฏิบัติงานด้านใน fire box ไม่สวมใส่ชุด tyvek,The worker inside the fire box is not wearing a tyvek suit.
1005,วางอุปกรณ์นั่งร้านกีดขวางการเข้า Operate อุปกรณ์ Plant,Olefins2,TTCL,Unsafe Condition,Housekeeping,วางอุปกรณ์นั่งร้านกีดขวางการเข้า operate อุปกรณ์ plant,Place scaffolding equipment to block access to operate plant equipment.
1006,Hole Watch ไม่มีวิทยุสื่อสารติดต่อกับผู้ปฏิบัติงานด้านใน (Concern ผู้ปฏิบัติงานที่ทำงานบนนั่งร้านด้านใน Fire Box),HOT,RNC,Unsafe Condition,CSE,"hole watch ไม่มีวิทยุสื่อสารติดต่อ, ผู้ปฏิบัติงานด้านใน (concern ผู้ปฏิบัติงานที่ทำงานบนนั่งร้านด้านใน fire box)","hole watch no radio contact, inner worker (concern worker working on scaffolding inside fire box)"
1007,ติดตั้งนั่งร้านกีดขวางอุปกรณ์ Plant,Olefins2,TTCL,Unsafe Condition,Scaffolding,ติดตั้งนั่งร้านกีดขวางอุปกรณ์ plant,Install scaffolding to obstruct plant equipment.
1008,แสงสว่างด้านหน้า Furnace ไม่เพียงพอ,HOT,RNC,Unsafe Condition,Environmental,แสงสว่างด้านหน้า furnace ไม่เพียงพอ,The light in front of the furnace is insufficient.
1009,ไม่มีป้ายเตือนที่อับอากาศด้านหน้า Steam Drum,HOT,REPCO (INDT),Unsafe Condition,CSE,ไม่มีป้ายเตือนที่อับอากาศด้านหน้า steam drum,There are no confined warning signs in front of the steam drum.
1010,"ปริมาณ Insulation, ขยะที่เพิ่มขึ้น ยังไม่มีแผนการส่งกำจัด",HOT,RNC,Unsafe Condition,Environmental,"ปริมาณ insulation , ขยะที่เพิ่มขึ้น ยังไม่มีแผนการส่งกำจัด","Insulation amount, increased waste No plans for removal"
1011,งานกลึง Tube TLE ปิดกั้น Barricade ไม่ครอบคลุม,HOT,RNC,Unsafe Condition,Installation/ Alignment,งานกลึง tube tle ปิดกั้น barricade ไม่ครอบคลุม,Turning the tube tle blocked the barricade not covered.
1012,นำ Cutter แบบธรรมดาเข้ามาใช้งาน Insulation,HOT,RNC,Unsafe Action,Tools & Equipment,นำ cutter แบบธรรมดาเข้ามาใช้งาน insulation,Use a normal cutter for insulation.
1013,สายไฟกีดขวางทางขึ้น-ลงนั่งร้าน,HOT,RNC,Unsafe Condition,Housekeeping,สายไฟกีดขวางทางขึ้น-ลงนั่งร้าน,Power lines blocking the way up and down the scaffolding
1014,Hole Watch หลับ/ ไม่มีเสื้อสะท้อนแสง,HOT,RNC,Unsafe Action,CSE,"hole watch หลับ, ไม่มีเสื้อสะท้อนแสง","hole watch asleep, no reflective vest"
1015,Hook Safety Harness ชำรุด,HOT,RNC,Unsafe Condition,Work at height,hook safety harness ชำรุด,The hook safety harness is defective.
1016,งานประกอบ Y-piece ชั้น4 แสงสว่างไม่เพียงพอ,HOT,RNC,Unsafe Condition,Environmental,งานประกอบ y-piece ชั้น4 แสงสว่างไม่เพียงพอ,"Assembling y-piece, 4th floor, insufficient lighting"
1017,ใช้สลิงผ้าใบที่มีสภาพชำรุดต๋ง Pipe,HOT,RNC,Unsafe Condition,Lifting,ใช้สลิงผ้าใบที่มีสภาพชำรุดต๋ง pipe,Use a damaged canvas sling pipe
1018,ผู้ช่วยช่างยืนจับ Pipe อยู่ใน Line of fire,HOT,RNC,Unsafe Action,Hot Work,ผู้ช่วยช่างยืนจับ pipe อยู่ใน line of fire,The mechanic's assistant stood holding the pipe in the line of fire.
1019,วางเครื่องมือและอุปกรณ์กีดขวางพื้นที่ปฏิบัติงาน,HOT,RNC,Unsafe Condition,Housekeeping,"วางเครื่องมือ, อุปกรณ์กีดขวางพื้นที่ปฏิบัติงาน","Place tools, equipment blocking the work area."
1020,ใช้รถเข็นน้ำขนย้ายอุปกรณ์นั่งร้าน,Olefins2,TTCL/ RSC,Unsafe Condition,Scaffolding,ใช้รถเข็นน้ำขนย้ายอุปกรณ์นั่งร้าน,Use a water cart to move the scaffolding equipment.
1021,จุดคล้องเกี่ยวสลิงผ้าใบไม่มีผ้ารองกันบาด,HOT,RNC,Unsafe Condition,Lifting,จุดคล้องเกี่ยวสลิงผ้าใบไม่มีผ้ารองกันบาด,Canvas sling attachment point without cut-proof cloth
1022,ผูกมัดค้อนทองเหลืองด้วยลวด,HOT,RNC,Unsafe Action,Work at height,ผูกมัดค้อนทองเหลืองด้วยลวด,Bonded brass hammer with wire
1023,คล้องเกี่ยว Harness กับ Grating (ไม่เหมาะสมและไม่มั่นคงแข็งแร็ง),HOT,RNC,Unsafe Action,Work at height,"คล้องเกี่ยว harness , grating (ไม่เหมาะสม, ไม่มั่นคงแข็งแร็ง)","Attached harness , grating (inappropriate, unstable)"
1024,งาน HW I ไม่มี Fire Watch (ทั้ง 2 จุด),HOT,RNC,Unsafe Action,Hot Work,งาน hw i ไม่มี fire watch (ทั้ง 2 จุด),hw i work without fire watch (both points)
1025,Safety หมวกเขียว ไม่มี Tyvek ทำให้ไม่สามารถเข้าไปตรวจสอบงานด้านใน CSE ได้,HOT,RNC,Unsafe Action,CSE,safety หมวกเขียว ไม่มี tyvek ทำให้ไม่สามารถเข้าไปตรวจสอบงานด้านใน cse ได้,"safety green hat, no tyvek, so unable to check the work inside the cse"
